"","caseid","V1","V2","V3","V4","V5","V6","V7"
"1","20160101160045","62","02","No answer","01","690","0","465"
"2","20160101160066","69","01","No answer","02","600","0","560"
"3","20160101160069","24","02","No answer","01","940","0","20"
"4","20160101160083","31","02","Part time","01","635","0","120"
"5","20160101160084","59","02","Part time","01","500","0","177"
"6","20160101160094","16","02","No answer","01","565","0","355"
"7","20160101160116","43","02","No answer","01","435","0","120"
"8","20160101160135","34","02","No answer","01","645","0","220"
"9","20160101160139","63","01","No answer","01","510","0","695"
"10","20160101160533","39","02","Full time","01","670","0","240"
"11","20160101160546","35","01","Full time","01","778","0","75"
"12","20160101160550","54","02","Full time","01","480","0","65"
"13","20160101160560","40","02","Full time","01","625","0","180"
"14","20160101160564","19","02","No answer","01","530","655","60"
"15","20160101160569","76","02","No answer","01","570","0","310"
"16","20160101160571","65","02","No answer","01","540","0","545"
"17","20160101160573","16","01","No answer","01","318","150","741"
"18","20160101160574","70","01","No answer","01","360","0","1054"
"19","20160101160578","68","01","No answer","02","480","0","959"
"20","20160101160591","36","02","Part time","01","470","0","30"
"21","20160101160602","45","01","Full time","01","570","0","829"
"22","20160101160611","50","02","Full time","01","688","0","480"
"23","20160101160613","52","02","Full time","01","480","0","160"
"24","20160101160631","70","02","No answer","02","768","0","329"
"25","20160101160632","26","01","Full time","01","535","0","425"
"26","20160101160648","63","01","No answer","01","355","0","195"
"27","20160101160658","25","02","Part time","01","540","0","120"
"28","20160101160660","74","02","No answer","02","480","0","565"
"29","20160101160663","32","02","Full time","01","580","0","105"
"30","20160101160674","65","01","No answer","01","510","0","850"
"31","20160101160680","76","02","No answer","01","275","0","1036"
"32","20160101160694","22","01","Full time","01","485","0","495"
"33","20160101160734","43","01","Full time","01","573","0","120"
"34","20160101160758","52","01","Full time","01","458","0","30"
"35","20160101160769","50","02","Full time","01","645","0","385"
"36","20160101160813","46","01","Full time","01","495","0","105"
"37","20160101160820","17","02","Part time","01","345","0","510"
"38","20160101160828","44","02","Part time","01","375","0","377"
"39","20160101160829","76","02","No answer","02","480","0","780"
"40","20160101160835","53","02","Full time","01","480","0","117"
"41","20160101160837","46","02","Part time","01","446","0","30"
"42","20160101160846","29","02","No answer","01","580","0","180"
"43","20160101160856","69","01","No answer","02","967","0","50"
"44","20160101160862","35","02","Part time","01","300","0","270"
"45","20160101160869","45","01","Full time","01","522","0","120"
"46","20160101160884","68","01","No answer","01","720","0","663"
"47","20160101160894","58","02","No answer","01","525","0","265"
"48","20160101160914","27","01","Full time","01","735","0","670"
"49","20160101160915","40","01","Full time","01","865","0","280"
"50","20160101160916","22","01","No answer","01","847","0","485"
"51","20160101160917","56","02","Full time","01","460","0","290"
"52","20160101160942","85","02","No answer","02","555","0","810"
"53","20160101160969","75","02","No answer","01","615","0","330"
"54","20160101160974","47","01","Full time","01","525","0","480"
"55","20160101160982","59","02","Full time","01","615","0","340"
"56","20160101160995","18","01","No answer","01","634","0","661"
"57","20160101161013","30","01","Full time","01","495","0","135"
"58","20160101161019","85","01","Part time","01","545","0","330"
"59","20160101161031","76","02","Part time","01","480","0","415"
"60","20160101161056","85","01","No answer","02","480","0","630"
"61","20160101161068","70","02","No answer","01","420","0","805"
"62","20160101161070","20","01","Part time","01","780","0","315"
"63","20160101161076","51","02","No answer","01","660","0","125"
"64","20160101161080","49","01","Full time","01","519","0","453"
"65","20160101161086","26","02","No answer","01","525","0","225"
"66","20160101161107","33","01","Full time","01","450","0","110"
"67","20160101161115","37","01","Full time","01","240","0","410"
"68","20160101161136","40","01","Full time","01","420","0","30"
"69","20160101161141","68","01","No answer","02","358","0","570"
"70","20160101161144","66","02","No answer","02","540","0","425"
"71","20160101161156","43","02","Full time","01","570","0","305"
"72","20160101161157","61","01","No answer","02","720","0","691"
"73","20160101161158","80","01","No answer","01","595","0","430"
"74","20160101161187","54","01","Full time","01","500","0","150"
"75","20160101161189","46","02","Full time","01","536","0","60"
"76","20160101161190","26","01","Full time","01","508","0","150"
"77","20160101161200","70","02","No answer","01","780","0","563"
"78","20160101161215","70","02","No answer","01","630","0","210"
"79","20160101161237","22","01","No answer","01","700","0","455"
"80","20160101161238","58","01","Full time","01","435","0","180"
"81","20160101161245","73","02","No answer","01","510","0","70"
"82","20160101161249","36","01","Part time","01","425","0","555"
"83","20160101161256","58","02","No answer","02","540","0","800"
"84","20160101161276","67","02","No answer","01","515","0","430"
"85","20160101161279","25","01","Part time","01","1020","0","0"
"86","20160101161290","34","01","Full time","01","540","0","160"
"87","20160101161311","48","02","Full time","01","425","0","250"
"88","20160101161317","49","01","Full time","01","612","0","300"
"89","20160101161324","48","02","No answer","01","575","0","210"
"90","20160101161332","66","02","No answer","01","495","0","350"
"91","20160101161367","73","02","No answer","01","510","0","210"
"92","20160101161372","51","02","No answer","01","600","0","240"
"93","20160101161373","35","02","Full time","01","480","0","180"
"94","20160101161376","43","02","Full time","01","510","0","510"
"95","20160101161397","53","01","Part time","01","360","0","890"
"96","20160101161412","21","02","Part time","01","630","0","660"
"97","20160101161418","55","01","Full time","01","535","0","310"
"98","20160101161449","69","02","Part time","01","494","0","175"
"99","20160101161451","61","02","Part time","01","570","0","645"
"100","20160101161462","58","01","Full time","02","450","0","40"
"101","20160101161508","33","01","Full time","01","540","0","195"
"102","20160101161511","27","01","No answer","01","565","90","545"
"103","20160101161527","80","02","No answer","02","570","0","415"
"104","20160101161528","37","02","No answer","01","602","0","390"
"105","20160101161546","45","02","Full time","01","615","0","388"
"106","20160101161560","40","02","No answer","01","526","0","250"
"107","20160101161574","66","02","No answer","02","540","0","400"
"108","20160101161577","75","02","No answer","01","500","0","420"
"109","20160101161590","52","02","Full time","01","690","0","175"
"110","20160101161638","61","02","Full time","02","765","0","360"
"111","20160101161656","73","01","Part time","01","555","0","480"
"112","20160101161675","36","02","Full time","01","495","0","736"
"113","20160101161687","56","01","Full time","01","330","0","265"
"114","20160101161700","64","01","Full time","01","480","0","390"
"115","20160101161704","40","02","Part time","01","420","230","0"
"116","20160101161715","55","01","Full time","01","570","0","240"
"117","20160101161747","85","02","No answer","02","810","0","270"
"118","20160101161762","29","02","Full time","01","540","0","135"
"119","20160101161816","60","02","No answer","02","540","0","305"
"120","20160101161832","45","02","Full time","01","800","0","430"
"121","20160101161838","37","01","Full time","01","480","0","260"
"122","20160101161850","33","02","Full time","01","480","0","75"
"123","20160101161856","65","02","Full time","01","781","0","462"
"124","20160101161858","23","02","Full time","01","720","60","0"
